,Unnamed: 0,text,embeddings,distances
64,64,"22 February – American company Intuitive Machines' Nova-C lander, named Odysseus, becomes the first commercial vehicle to land on the Moon in the IM-1 mission. The lander includes a Lunar Library that contains a version of the English Wikipedia, artworks, selections from the Internet Archive, portions of the Project Gutenberg, and more. It is projected to reside on the Moon in a readable state for billions of years.","[ 0.00824336 -0.02240469 -0.01396586 ...  0.00446207  0.00637631
 -0.00612017]",0.24268058200678033
102,102,"16 April – Scientists at the Riken institute demonstrate ""advanced dual-chirped optical parametric amplification"", which provides a 50-fold increase in the energy of single-cycle laser pulses. This new technique may advance the development of attosecond lasers.","[-0.0221964   0.01610641  0.00390307 ... -0.02330488  0.00246571
 -0.01066415]",0.24281209117675895
66,66,"23 February – Three new moons of the Solar System are discovered, one around Uranus and two around Neptune, bringing their total known satellites to 28 and 16, respectively.","[ 0.0073079   0.01337218  0.00229494 ...  0.01087851  0.00082374
 -0.01180162]",0.2430777013380283
50,50,6 February – Biologists report a new species of jellyfish named Santjordia pagesi.,"[-0.00091086  0.02604879  0.0090503  ... -0.022911    0.00989958
 -0.01738747]",0.2431367254466611
224,224,14 November – The first direct image of what the shape of a photon would look like is created.,"[-0.01237392  0.00547308 -0.01156803 ...  0.01520406 -0.00853483
 -0.02086433]",0.2442127539541259
7,7,"9 January – Researchers have discovered a new phase of matter, named a ""light-matter hybrid"", which may reshape understanding of how light interacts with matter.","[ 0.00215373  0.00476427 -0.00013732 ... -0.00787503 -0.01127211
 -0.02594129]",0.24429629471067316
246,246,27 December – Category:Science timelines,"[-0.00841469 -0.00314286 -0.01155923 ...  0.01045257 -0.02538577
 -0.02801747]",0.24468407500176448
218,218,28 October – A study of the Uranian moon Miranda finds that it may contain a deep ocean of water below its surface.,"[ 0.00627795 -0.02073307  0.00592515 ...  0.00893553  0.00360718
 -0.00477441]",0.24487856160396637
180,180,"4 September – The ESA/JAXA BepiColombo mission performs the closest ever flyby of a planet, as it speeds past Mercury at a distance of just 165 km (103 mi).","[ 0.0088087  -0.00020084 -0.01278176 ... -0.00404168 -0.01539562
 -0.03711677]",0.2450184120517519
107,107,"29 April – Timothy A. Coleman, with the University of Alabama in Huntsville, Richard L. Thompson with the NOAA Storm Prediction Center, and Dr. Gregory S. Forbes, a retired meteorologist from The Weather Channel publish an article to the Journal of Applied Meteorology and Climatology stating, ""it is apparent that the perceived shift in tornado activity from the traditional tornado alley in the Great Plains to the eastern U.S. is indeed real"".","[-0.02338238 -0.01815369 -0.00624575 ...  0.01536594  0.0068093
 -0.02071468]",0.24504146458715748
209,209,"14 October – NASA launches the Europa Clipper from Kennedy Space Center, which will study the Jovian moon Europa while orbiting Jupiter.","[ 0.00686333 -0.01009541  0.00411736 ...  0.01801464  0.01287036
 -0.01563243]",0.24512073854373473
239,239,20 December – A study published in Optica reports the first demonstration of quantum teleportation over fibers carrying conventional telecommunications traffic.,"[ 0.00108784  0.00132912  0.00681226 ...  0.0019004   0.00599307
 -0.01164121]",0.2451848027994269
186,186,"12 September – A study suggests Earth had planetary rings during the Ordovician period, formed from the breakup of an asteroid, from which material deorbited during the ~40 million years long Ordovician meteor event ~466 million years ago, resulting in an otherwise unlikely crater distribution.","[ 0.00688991 -0.01194162  0.00420536 ...  0.02930524 -0.02032588
 -0.02758607]",0.24565769839239204
